Nr.;Jahr;Gemeindeteilschlüssel;Gemeindeteilebene;Gemeindeteilname;Bevölkerung am Ort der Hauptwohnung insgesamt;Bevölkerung am Ort der Hauptwohnung weiblich;Bevölkerung am Ort der Hauptwohnung ohne Migrationshintergrund;Bevölkerung am Ort der Hauptwohnung Migrationshintergrund;Bevölkerung am Ort der Hauptwohnung Ausländer
107;2013;0050;Stadtteil;Lindenhof;12940;6934;8984;3956;1811
120;2013;0140;Stadtteil;Wallstadt;7871;4054;6258;1613;548
112;2013;0083;Stadtteil;Luzenberg;3034;1376;992;2042;1415
122;2013;0161;Stadtteil;Neckarau;15308;7675;9792;5516;3245
100;2014;0170;Stadtteil;Rheinau;24585;11948;13327;11258;5527
105;2013;0041;Stadtteil;Oststadt;12138;6236;8344;3794;2056
81;2014;0042;Stadtteil;Schwetzingerstadt;9966;4949;5538;4428;2822
89;2014;0092;Stadtteil;Neuhermsheim;4614;2380;2712;1902;718
94;2014;0130;Stadtteil;Vogelstang;12834;6724;6851;5983;1780
96;2014;0150;Stadtteil;Feudenheim;14043;7455;11230;2813;1174
93;2014;0120;Stadtteil;Käfertal;24352;12229;14762;9590;4360
90;2014;0101;Stadtteil;Seckenheim;12562;6482;9395;3167;1400
98;2014;0162;Stadtteil;Niederfeld;7278;3835;5254;2024;971
83;2014;0060;Stadtteil;Sandhofen;13293;6779;9270;4023;2179
97;2014;0161;Stadtteil;Neckarau;15539;7796;9744;5795;3422
99;2014;0163;Stadtteil;Almenhof;6830;3484;4506;2324;1288
6;2017;0042;Stadtteil;Schwetzingerstadt;10521;5214;5657;4864;3057
17;2017;0110;Stadtteil;Friedrichsfeld;5422;2689;3747;1675;968
19;2017;0130;Stadtteil;Vogelstang;12530;6583;6439;6091;2010
16;2017;0102;Stadtteil;Hochstätt;3202;1566;899;2303;1393
15;2017;0101;Stadtteil;Seckenheim;12765;6580;9195;3570;1669
9;2017;0070;Stadtteil;Schönau;12923;6464;6866;6057;3250
102;2013;0010;Stadtteil;Innenstadt/Jungbusch;29698;13684;11571;18127;12935
106;2013;0042;Stadtteil;Schwetzingerstadt;9889;4937;5548;4341;2747
114;2013;0092;Stadtteil;Neuhermsheim;4612;2405;2721;1891;697
111;2013;0082;Stadtteil;Gartenstadt;10573;5452;8251;2322;831
91;2014;0102;Stadtteil;Hochstätt;3116;1492;947;2169;1325
113;2013;0091;Stadtteil;Neuostheim;2816;1473;2139;677;333
87;2014;0083;Stadtteil;Luzenberg;3067;1440;980;2087;1404
95;2014;0140;Stadtteil;Wallstadt;7911;4070;6259;1652;550
110;2013;0081;Stadtteil;Waldhof;10570;5330;6428;4142;2290
101;2013;0000;Stadt;Mannheim;307936;154455;181704;126232;69778
28;2016;0020;Stadtteil;Neckarstadt-West;20902;9525;6635;14210;10581
39;2016;0092;Stadtteil;Neuhermsheim;4567;2356;2638;1907;692
23;2017;0162;Stadtteil;Niederfeld;7634;4019;5319;2315;1084
40;2016;0101;Stadtteil;Seckenheim;12772;6536;9181;3514;1647
33;2016;0060;Stadtteil;Sandhofen;13592;6901;8990;4382;2353
63;2015;0091;Stadtteil;Neuostheim;2781;1447;2055;726;354
58;2015;0060;Stadtteil;Sandhofen;13482;6858;9220;4262;2309
37;2016;0083;Stadtteil;Luzenberg;3065;1467;916;2143;1408
30;2016;0041;Stadtteil;Oststadt;12274;6305;8209;3993;2101
51;2015;0000;Stadt;Mannheim;317744;157156;179316;138428;79963
73;2015;0162;Stadtteil;Niederfeld;7440;3910;5263;2177;1055
66;2015;0102;Stadtteil;Hochstätt;3145;1539;919;2226;1334
71;2015;0150;Stadtteil;Feudenheim;13989;7399;11130;2859;1210
65;2015;0101;Stadtteil;Seckenheim;13261;6716;9382;3879;2036
70;2015;0140;Stadtteil;Wallstadt;7939;4086;6259;1680;574
82;2014;0050;Stadtteil;Lindenhof;13056;6949;8982;4074;1883
72;2015;0161;Stadtteil;Neckarau;15653;7792;9681;5972;3591
75;2015;0170;Stadtteil;Rheinau;24982;12088;13226;11756;5996
84;2014;0070;Stadtteil;Schönau;13135;6582;7209;5926;3140
85;2014;0081;Stadtteil;Waldhof;10672;5341;6235;4437;2507
119;2013;0130;Stadtteil;Vogelstang;12855;6706;6955;5900;1711
123;2013;0162;Stadtteil;Niederfeld;7096;3733;5168;1928;917
115;2013;0101;Stadtteil;Seckenheim;12530;6502;9430;3100;1328
125;2013;0170;Stadtteil;Rheinau;24271;11855;13502;10769;5099
